epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6956,2.49371,6.04388,0.01258,0,0,0,0,2.40081,6.56507,0.01443,1.818e-05,1.818e-05,1.818e-05
2,37.5818,2.36833,5.99991,0.01255,0,0,0,0,2.12749,6.44662,0.0122,3.9e-05,3.9e-05,3.9e-05
3,41.6384,2.19249,5.86202,0.01079,0,0,0,0,1.906,6.3649,0.01058,5.94001e-05,5.94001e-05,5.94001e-05
4,44.8986,2.00823,5.77293,0.0102,0,0,0,0,1.77002,6.27591,0.00956,7.93802e-05,7.93802e-05,7.93802e-05
5,48.1342,1.81736,5.53987,0.00896,0,0,0,0,1.61792,6.11016,0.00843,9.89404e-05,9.89404e-05,9.89404e-05
6,52.3327,1.79798,5.56217,0.00834,0,0,0,0,1.58419,6.01582,0.00821,0.000118081,0.000118081,0.000118081
7,55.7806,1.68784,5.45214,0.00811,0,0,0,0,1.50507,5.82192,0.00785,0.000136801,0.000136801,0.000136801
8,59.0231,1.59405,5.26281,0.0073,0,0,0,0,1.46196,5.77704,0.00763,0.000155101,0.000155101,0.000155101
9,63.2697,1.61631,5.16758,0.00777,0,0,0,0,1.4351,5.68788,0.00751,0.000172981,0.000172981,0.000172981
10,67.518,1.56533,5.1134,0.00748,0,0,0,0,1.41566,5.62348,0.00736,0.000190442,0.000190442,0.000190442
11,70.8506,1.54207,4.93116,0.00728,0.01159,0.0056,0.00129,0.00084,1.40237,5.51552,0.00728,0.000207482,0.000207482,0.000207482
12,74.1618,1.51984,4.84839,0.00698,0.022,0.1444,0.01059,0.00578,1.41145,5.21995,0.00737,0.000224103,0.000224103,0.000224103
13,78.0069,1.5238,4.74794,0.00699,0.0178,0.20746,0.01548,0.0077,1.40112,5.12868,0.00733,0.000240303,0.000240303,0.000240303
14,81.9697,1.46926,4.64655,0.00704,0.01327,0.30746,0.0197,0.0101,1.48893,4.84963,0.00774,0.000256084,0.000256084,0.000256084
15,85.2019,1.48127,4.4817,0.00655,0.01116,0.32748,0.02031,0.01048,1.53501,4.59626,0.00795,0.000261004,0.000261004,0.000261004
16,88.426,1.56018,4.3972,0.00681,0.01164,0.3274,0.02433,0.01276,1.53386,4.41641,0.00789,0.000258004,0.000258004,0.000258004
17,92.8926,1.51055,4.29825,0.0065,0.57904,0.07345,0.02365,0.01273,1.54564,4.31777,0.00797,0.000255005,0.000255005,0.000255005
18,96.1926,1.50718,4.0885,0.00743,0.58204,0.05925,0.02569,0.01416,1.52864,4.25481,0.00795,0.000252005,0.000252005,0.000252005
19,99.5204,1.50486,4.10212,0.00743,0.59273,0.07447,0.02846,0.01612,1.53404,4.27646,0.00799,0.000249005,0.000249005,0.000249005
20,102.828,1.5346,4.0015,0.00702,0.56572,0.08147,0.0295,0.01699,1.53456,4.25201,0.00796,0.000246006,0.000246006,0.000246006
21,107.301,1.49527,3.92313,0.00666,0.57029,0.08519,0.03119,0.01792,1.55103,4.2227,0.008,0.000243006,0.000243006,0.000243006
22,110.611,1.41911,4.05302,0.00713,0.57974,0.0845,0.0343,0.01996,1.55071,4.13745,0.00801,0.000240006,0.000240006,0.000240006
