epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.256,1.23619,1.09754,1.18506,0.94287,0.89337,0.95941,0.6045,1.18518,1.01714,1.13062,0.000331522,0.000331522,0.0671793
2,249.072,1.17932,0.66753,1.13295,0.96696,0.97206,0.98756,0.65154,1.16653,0.59492,1.13853,0.000658273,0.000658273,0.0341728
3,355.743,1.16471,0.62212,1.12469,0.93385,0.94878,0.9694,0.64676,1.15425,0.67591,1.14634,0.000978424,0.000978424,0.00115958
4,461.431,1.14277,0.60311,1.11384,0.98377,0.97264,0.99047,0.6773,1.10995,0.56501,1.0974,0.0009703,0.0009703,0.0009703
5,568.248,1.13966,0.57897,1.11123,0.98765,0.96799,0.98729,0.67433,1.1115,0.51203,1.08546,0.0009604,0.0009604,0.0009604
6,675.354,1.12792,0.55821,1.10531,0.98771,0.98222,0.99271,0.69543,1.07653,0.49697,1.08704,0.0009505,0.0009505,0.0009505
7,783.208,1.10486,0.54656,1.08787,0.99404,0.97963,0.99372,0.69188,1.06842,0.49138,1.08703,0.0009406,0.0009406,0.0009406
8,891.042,1.10013,0.53392,1.09069,0.98945,0.98226,0.99211,0.65631,1.18857,0.51119,1.14091,0.0009307,0.0009307,0.0009307
9,997.726,1.09737,0.52717,1.08656,0.99056,0.97675,0.992,0.68535,1.09655,0.47458,1.07543,0.0009208,0.0009208,0.0009208
10,1103.33,1.08895,0.52095,1.08434,0.99004,0.98401,0.99397,0.69654,1.07187,0.45938,1.07255,0.0009109,0.0009109,0.0009109
11,1210.42,1.0831,0.51566,1.07482,0.99006,0.98254,0.99388,0.70625,1.04136,0.4663,1.05784,0.000901,0.000901,0.000901
12,1315.42,1.08243,0.51283,1.07711,0.99123,0.98738,0.99446,0.70227,1.04179,0.47352,1.06027,0.0008911,0.0008911,0.0008911
13,1420.26,1.07666,0.50569,1.06777,0.98257,0.98455,0.99268,0.6757,1.10686,0.49518,1.11165,0.0008812,0.0008812,0.0008812
14,1526.71,1.07825,0.49424,1.06917,0.99646,0.98358,0.99475,0.71107,1.04318,0.44057,1.05507,0.0008713,0.0008713,0.0008713
15,1631.3,1.05688,0.49382,1.06244,0.98676,0.98719,0.99374,0.69773,1.06066,0.45193,1.06683,0.0008614,0.0008614,0.0008614
16,1733.76,1.07223,0.494,1.06222,0.99291,0.97849,0.99226,0.69892,1.06558,0.44674,1.07064,0.0008515,0.0008515,0.0008515
17,1838.28,1.07019,0.49111,1.06473,0.99043,0.97497,0.99236,0.68935,1.10117,0.47513,1.08305,0.0008416,0.0008416,0.0008416
18,1943.47,1.06412,0.48127,1.06018,0.99355,0.9864,0.9942,0.70473,1.0456,0.43782,1.05922,0.0008317,0.0008317,0.0008317
19,2048.84,1.05542,0.48471,1.0517,0.98855,0.98428,0.99286,0.70526,1.04243,0.44745,1.05534,0.0008218,0.0008218,0.0008218
20,2156.65,1.04646,0.48116,1.0536,0.99295,0.98336,0.9945,0.69652,1.07204,0.43727,1.05841,0.0008119,0.0008119,0.0008119
21,2263.89,1.04477,0.47573,1.04916,0.99273,0.98719,0.99435,0.71349,1.03383,0.42047,1.0404,0.000802,0.000802,0.000802
22,2369.33,1.04684,0.46852,1.05321,0.99042,0.98545,0.99389,0.70359,1.06087,0.42007,1.05587,0.0007921,0.0007921,0.0007921
23,2473.45,1.04108,0.4711,1.05335,0.99298,0.98748,0.99483,0.71149,1.04644,0.41393,1.04143,0.0007822,0.0007822,0.0007822
24,2575.4,1.04176,0.46714,1.048,0.993,0.98196,0.9945,0.71291,1.04026,0.4014,1.05439,0.0007723,0.0007723,0.0007723
25,2680.66,1.03488,0.46014,1.04707,0.99415,0.98877,0.9948,0.70772,1.04349,0.4104,1.05184,0.0007624,0.0007624,0.0007624
26,2787.63,1.02688,0.45611,1.04126,0.99238,0.9851,0.99414,0.70528,1.04842,0.41312,1.05312,0.0007525,0.0007525,0.0007525
27,2893.37,1.04182,0.46272,1.04131,0.99416,0.99054,0.99488,0.70793,1.04332,0.40364,1.03959,0.0007426,0.0007426,0.0007426
28,2998.87,1.02053,0.44928,1.03668,0.99011,0.99015,0.99448,0.71335,1.03331,0.40319,1.04704,0.0007327,0.0007327,0.0007327
29,3101.93,1.02694,0.45075,1.03522,0.99588,0.98513,0.99476,0.71479,1.01841,0.40045,1.03581,0.0007228,0.0007228,0.0007228
30,3207.5,1.02923,0.44782,1.031,0.99333,0.98778,0.99452,0.71308,1.03133,0.39539,1.02876,0.0007129,0.0007129,0.0007129
31,3313.41,1.02399,0.44861,1.03711,0.99269,0.98661,0.99456,0.70827,1.04843,0.40838,1.04938,0.000703,0.000703,0.000703
32,3417.47,1.01144,0.44264,1.02787,0.9918,0.98661,0.99413,0.71093,1.03415,0.39362,1.03512,0.0006931,0.0006931,0.0006931
33,3521.88,1.01905,0.44436,1.03023,0.99013,0.99249,0.99476,0.71527,1.02629,0.39612,1.04227,0.0006832,0.0006832,0.0006832
34,3630.21,1.01699,0.44251,1.02822,0.99486,0.98603,0.99474,0.71708,1.01847,0.3893,1.03427,0.0006733,0.0006733,0.0006733
35,3742.33,1.01741,0.44047,1.02736,0.99415,0.98902,0.99485,0.71783,1.02578,0.39214,1.02937,0.0006634,0.0006634,0.0006634
36,3856.02,1.01865,0.44296,1.02768,0.99417,0.9901,0.9945,0.72106,1.01375,0.37989,1.03043,0.0006535,0.0006535,0.0006535
37,3966.49,1.0093,0.43509,1.02725,0.99291,0.99069,0.99463,0.72041,1.0192,0.39013,1.03103,0.0006436,0.0006436,0.0006436
38,4074.79,1.00569,0.43669,1.03096,0.99459,0.98894,0.99476,0.71768,1.01801,0.38336,1.04173,0.0006337,0.0006337,0.0006337
39,4183.52,1.0098,0.43224,1.02429,0.99193,0.99069,0.9947,0.71718,1.02627,0.38934,1.0322,0.0006238,0.0006238,0.0006238
40,4293.52,0.9989,0.42872,1.01939,0.99258,0.99127,0.99485,0.71632,1.02353,0.37841,1.03176,0.0006139,0.0006139,0.0006139
41,4402.96,1.00761,0.43042,1.01994,0.99358,0.98778,0.99464,0.72186,1.00839,0.37232,1.0257,0.000604,0.000604,0.000604
42,4511.83,1.00081,0.42733,1.02207,0.99765,0.98945,0.99491,0.70971,1.0404,0.38731,1.051,0.0005941,0.0005941,0.0005941
43,4619.29,1.00135,0.42534,1.01993,0.99301,0.99281,0.9948,0.71938,1.01914,0.37983,1.031,0.0005842,0.0005842,0.0005842
44,4729.3,0.99543,0.42166,1.02279,0.99536,0.98778,0.9948,0.71923,1.01615,0.37407,1.02682,0.0005743,0.0005743,0.0005743
45,4840.94,1.00279,0.42333,1.02188,0.99379,0.98894,0.99489,0.72474,1.01876,0.36942,1.02654,0.0005644,0.0005644,0.0005644
