epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1795.86,1.23125,0.89525,1.12666,0.96852,0.9674,0.98246,0.62223,1.1693,0.72134,1.11782,0.000332428,0.000332428,0.0670897
2,3590.93,1.18347,0.66616,1.09208,0.97529,0.97963,0.98716,0.65494,1.17194,0.57994,1.08361,0.00065917,0.00065917,0.0340831
3,5330.78,1.17376,0.62673,1.0896,0.97347,0.95052,0.98589,0.67746,1.12745,0.57445,1.07488,0.000979312,0.000979312,0.00106989
4,7093.38,1.16856,0.60341,1.0827,0.98003,0.98603,0.99346,0.68188,1.11865,0.59237,1.05965,0.0009703,0.0009703,0.0009703
5,8849.71,1.14885,0.57959,1.07689,0.98705,0.97569,0.99317,0.67484,1.11284,0.53577,1.06029,0.0009604,0.0009604,0.0009604
6,10609.1,1.14608,0.57453,1.07073,0.99176,0.98087,0.99295,0.69071,1.10893,0.4927,1.04942,0.0009505,0.0009505,0.0009505
7,12373.7,1.12273,0.55072,1.06337,0.98941,0.97855,0.99396,0.6944,1.09628,0.47925,1.05076,0.0009406,0.0009406,0.0009406
8,14141.6,1.1265,0.54153,1.06126,0.99467,0.97827,0.99441,0.68704,1.09252,0.47512,1.05069,0.0009307,0.0009307,0.0009307
9,15916,1.11981,0.53588,1.06188,0.99382,0.98021,0.99361,0.67862,1.13633,0.47888,1.06097,0.0009208,0.0009208,0.0009208
10,17689,1.09852,0.52931,1.05209,0.99042,0.98196,0.99245,0.69221,1.08724,0.47083,1.04757,0.0009109,0.0009109,0.0009109
11,19467.3,1.09806,0.52001,1.0477,0.98966,0.98196,0.99403,0.67938,1.1412,0.47736,1.06785,0.000901,0.000901,0.000901
12,21248.2,1.10131,0.51648,1.04767,0.9889,0.98522,0.99416,0.70612,1.06559,0.44698,1.03431,0.0008911,0.0008911,0.0008911
13,23033.5,1.09197,0.50721,1.05316,0.99295,0.98348,0.99425,0.70185,1.07006,0.44963,1.03809,0.0008812,0.0008812,0.0008812
14,24819.1,1.08648,0.51004,1.04517,0.99238,0.98529,0.99455,0.69981,1.08433,0.45166,1.03737,0.0008713,0.0008713,0.0008713
15,26614.6,1.07945,0.49472,1.03533,0.99196,0.98196,0.99401,0.70733,1.06613,0.44138,1.0413,0.0008614,0.0008614,0.0008614
16,28384.1,1.08596,0.49955,1.04067,0.99513,0.97497,0.99431,0.70201,1.0714,0.44107,1.03666,0.0008515,0.0008515,0.0008515
17,30127.6,1.08043,0.49373,1.04012,0.99084,0.98661,0.99464,0.70469,1.06334,0.44264,1.03071,0.0008416,0.0008416,0.0008416
18,31894.7,1.07018,0.49096,1.03478,0.99107,0.98661,0.99448,0.69945,1.07284,0.43327,1.04934,0.0008317,0.0008317,0.0008317
19,33662.6,1.06789,0.48183,1.03217,0.99064,0.98621,0.99477,0.70308,1.06802,0.43281,1.03668,0.0008218,0.0008218,0.0008218
20,35431.6,1.06408,0.48052,1.04019,0.99445,0.98487,0.99468,0.70358,1.0586,0.42208,1.03304,0.0008119,0.0008119,0.0008119
21,37245.7,1.05882,0.4806,1.03304,0.99007,0.98894,0.99455,0.70012,1.08318,0.43095,1.03739,0.000802,0.000802,0.000802
22,39009.3,1.06768,0.47171,1.03153,0.99127,0.99159,0.99483,0.71095,1.0545,0.4121,1.02656,0.0007921,0.0007921,0.0007921
23,40771.1,1.05708,0.46523,1.02932,0.99357,0.98937,0.99486,0.70513,1.06694,0.41812,1.02885,0.0007822,0.0007822,0.0007822
