epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8218,2.74261,5.44611,2.27714,0,0,0,0,0,0,0,1.5e-05,1.5e-05,1.5e-05
2,24.9759,2.49688,5.33858,2.12174,0,0,0,0,0,0,0,3.21782e-05,3.21782e-05,3.21782e-05
3,27.9999,2.26438,5.26831,1.89794,0,0,0,0,0,0,0,4.901e-05,4.901e-05,4.901e-05
4,30.0815,1.99161,5.11499,1.67032,0,0,0,0,0,0,0,6.54952e-05,6.54952e-05,6.54952e-05
5,31.9975,1.81038,4.95996,1.49725,0,0,0,0,0,0,0,8.1634e-05,8.1634e-05,8.1634e-05
6,33.9704,1.86387,4.88961,1.43525,0,0,0,0,0,0,0,9.74263e-05,9.74263e-05,9.74263e-05
7,36.0342,1.73864,4.71788,1.34672,0,0,0,0,0,0,0,0.000112872,0.000112872,0.000112872
8,37.9084,1.6759,4.56502,1.25689,0,0,0,0,0,0,0,0.000127971,0.000127971,0.000127971
9,40.7561,1.68972,4.4153,1.25872,0,0,0,0,0,0,0,0.000142724,0.000142724,0.000142724
10,43.0803,1.68635,4.30824,1.23778,0,0,0,0,0,0,0,0.00015713,0.00015713,0.00015713
11,45.0631,1.65071,4.24019,1.21974,0,0,0,0,0,0,0,0.00017119,0.00017119,0.00017119
12,47.2785,1.61081,4.11828,1.19503,0,0,0,0,0,0,0,0.000184903,0.000184903,0.000184903
13,49.1058,1.62107,4.04908,1.21347,0,0,0,0,0,0,0,0.00019827,0.00019827,0.00019827
14,51.0721,1.61117,3.93908,1.2318,0,0,0,0,0,0,0,0.00021129,0.00021129,0.00021129
15,53.9183,1.58377,3.84899,1.18928,0,0,0,0,0,0,0,0.00021535,0.00021535,0.00021535
16,56.1602,1.62397,3.8122,1.21141,0,0,0,0,0,0,0,0.000212875,0.000212875,0.000212875
17,58.0543,1.6557,3.69106,1.19314,0,0,0,0,0,0,0,0.0002104,0.0002104,0.0002104
18,59.945,1.60922,3.60783,1.22516,0,0,0,0,0,0,0,0.000207925,0.000207925,0.000207925
19,61.9795,1.604,3.56182,1.23189,0,0,0,0,0,0,0,0.00020545,0.00020545,0.00020545
20,64.0325,1.6267,3.4915,1.21435,0,0,0,0,0,0,0,0.000202975,0.000202975,0.000202975
21,66.7189,1.6048,3.38181,1.19427,0,0,0,0,0,0,0,0.0002005,0.0002005,0.0002005
22,68.9505,1.53673,3.34863,1.2064,0,0,0,0,0,0,0,0.000198025,0.000198025,0.000198025
23,70.9369,1.65297,3.32209,1.21711,0,0,0,0,0,0,0,0.00019555,0.00019555,0.00019555
24,72.8438,1.60736,3.1992,1.22554,0,0,0,0,0,0,0,0.000193075,0.000193075,0.000193075
